filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
a_(1).wav,0.07835202664136887,1349.0647870148332,1579.1042895653713,2411.71875,0.06195068359375,-196.1422576904297,155.34207153320312,-32.79267501831055,9.183998107910156,-6.563314914703369,-13.461153984069824,-12.733125686645508,-10.020637512207031,-20.022897720336914,1.0478395223617554,-2.626513719558716,-0.04994940757751465,-13.237475395202637,-4.148360252380371,-5.552077293395996,-2.548403263092041,-6.649182319641113,-3.227248430252075,-6.036036014556885,-0.5745676755905151,a
a_(10).wav,0.06947477161884308,1335.6810128606276,1605.1503554694311,2349.7292258522725,0.05857895359848485,-226.8596649169922,156.50466918945312,-21.69240379333496,4.813827991485596,-20.601520538330078,-14.525947570800781,-8.72583293914795,-9.976627349853516,-17.03901481628418,3.534193754196167,-2.830516815185547,3.2299203872680664,-8.176623344421387,-6.780770778656006,-7.901219367980957,-3.167109251022339,-8.71945858001709,-2.2236168384552,-6.005473613739014,-1.9768697023391724,a
a_(100).wav,0.18072208762168884,1230.5163286881575,1298.6305806243085,2052.1142578125,0.065283203125,-175.46461486816406,165.5345001220703,-52.409454345703125,-10.623739242553711,-7.834209442138672,-33.89431381225586,-6.411861419677734,7.629051208496094,-6.206777095794678,2.6940112113952637,12.738691329956055,15.754293441772461,-3.2659084796905518,-29.651281356811523,-6.2243242263793945,0.5424352288246155,-4.551760673522949,0.6724306344985962,0.564469039440155,4.498197555541992,a
a_(101).wav,0.16456161439418793,1119.214922971938,1177.865306972479,1484.6078725961538,0.06095467032967033,-187.02249145507812,182.39154052734375,-34.986663818359375,-21.803409576416016,-33.38951110839844,-0.8699368238449097,-4.20151948928833,0.8693424463272095,-22.44605827331543,-6.832284927368164,19.72760581970215,-1.105423092842102,1.9773868322372437,-26.5939884185791,-14.30502700805664,-2.5954830646514893,-30.41490936279297,3.2468936443328857,0.13062100112438202,-8.242083549499512,a
a_(102).wav,0.1271011233329773,1354.3731643307624,1533.6645534537265,2565.6927293346776,0.06475764448924731,-186.17579650878906,162.8020477294922,-37.37471008300781,11.754866600036621,-20.21541976928711,-18.903030395507812,10.558611869812012,-11.303428649902344,-1.6102995872497559,4.586331844329834,-0.7695962190628052,-0.06524184346199036,-5.120680332183838,-18.04254150390625,-8.207775115966797,4.094569683074951,-9.554463386535645,-1.9391239881515503,-1.2854194641113281,-3.7313616275787354,a
a_(103).wav,0.17991171777248383,1193.2293789576345,1231.3842199903768,2009.1045178865131,0.06090666118421053,-174.63800048828125,183.75067138671875,-45.56200408935547,12.317695617675781,-44.3265495300293,-24.857223510742188,12.930331230163574,-14.115981101989746,-30.541372299194336,2.3008458614349365,7.982318878173828,2.93392014503479,0.11501442641019821,-7.693748950958252,-19.581880569458008,-4.224066257476807,-0.23152713477611542,-11.419366836547852,-1.4906002283096313,-9.337206840515137,a
a_(104).wav,0.16342918574810028,1272.991640731347,1415.3636619502045,2112.9911778336864,0.06635659427966102,-157.1617431640625,160.87448120117188,-42.25657653808594,6.270537376403809,-39.47932815551758,-1.492221474647522,-14.983534812927246,-1.2388529777526855,-10.063806533813477,-1.5307888984680176,-6.496990203857422,3.181872606277466,0.014065439812839031,-13.449813842773438,-11.453627586364746,-4.948158264160156,-1.0372637510299683,-5.56334114074707,-10.849541664123535,-4.598893642425537,a
a_(105).wav,0.1116165965795517,1437.0624388262613,1699.243936012672,2381.6764585433466,0.05176175025201613,-229.11949157714844,108.59185791015625,-52.54226303100586,-19.761564254760742,-23.3847599029541,-24.6152286529541,-42.46640396118164,-8.07776927947998,-11.880401611328125,-19.82402801513672,-2.4375760555267334,9.450090408325195,-6.2136430740356445,-24.087751388549805,-16.971826553344727,3.6972382068634033,-28.667407989501953,2.361344575881958,-3.634782314300537,-10.70111083984375,a
a_(106).wav,0.11582232266664505,1312.8414447752605,1633.864280138288,2064.967582152062,0.06290270618556701,-200.0740203857422,134.72320556640625,-26.075286865234375,-19.92804718017578,-55.7144660949707,-13.338064193725586,-19.253128051757812,-10.220382690429688,-13.37990665435791,-22.283334732055664,-23.032686233520508,-13.979901313781738,15.29321002960205,-8.33325481414795,-33.39124298095703,3.4267311096191406,-13.651062965393066,-11.03079605102539,-11.475244522094727,-3.9974801540374756,a
a_(107).wav,0.16655376553535461,1253.0112439631882,1381.9180287046618,1687.145353618421,0.06337376644736842,-157.5470428466797,158.85606384277344,-40.49294662475586,-22.770946502685547,-41.65856170654297,-6.3485002517700195,-15.024728775024414,8.334535598754883,-16.18067741394043,-7.8368964195251465,-5.453858852386475,20.015579223632812,-8.603902816772461,-9.16532039642334,-22.787927627563477,-0.6435993313789368,-17.814424514770508,-1.632166862487793,-0.04368087649345398,-11.347615242004395,a
